Id,CardName,Description,GuardianStar1,GuardianStar2,Level,CardType,Attribute,Attack,Defense,Password,StarchipCost,IsAngelWinged,IsBugrothian,IsMercuryMagicUser,IsDragon,IsElf,IsFeatherian,IsFemale,IsJar,IsKoumorian,IsMystElfian,IsPyro,IsTurtle,IsUsableBeast,NumSort,AbcSort,MaxSort,AtkSort,DefSort,TypSort,AISort
16,Time Wizard,"A sorcerer capable
of bending time to
his will. Though not
powerful at first
glance, appearances 
can be deceiving.",Venus,Sun,2,Spellcaster,Light,500,400,71625222,999999,0,0,0,0,0,0,0,0,0,0,0,0,0,16,633,586,573,580,85,56
17,Right Leg of the Forbidden One,"A forbidden limb
sealed by magic.
Whoever breaks
this seal will know
infinite power.
Only one card of
this type may be
included in a deck.",Mercury,Jupiter,1,Spellcaster,Dark,200,300,8124921,999999,0,0,1,0,0,0,0,0,0,0,0,0,0,17,524,618,618,605,75,60
18,Left Leg of the Forbidden One,"A forbidden limb
sealed by magic.
Whoever breaks
this seal will know
infinite power.
Only one card of
this type may be
included in a deck.",Mercury,Saturn,1,Spellcaster,Dark,200,300,44519536,999999,0,0,1,0,0,0,0,0,0,0,0,0,0,18,358,615,616,603,59,60
19,Right Arm of the Forbidden One,"A forbidden limb
sealed by magic.
Whoever breaks
this seal will know
infinite power.
Only one card of
this type may be
included in a deck.",Mercury,Uranus,1,Spellcaster,Dark,200,300,70903634,999999,0,0,1,0,0,0,0,0,0,0,0,0,0,19,523,617,617,604,74,60
20,Left Arm of the Forbidden One,"A forbidden limb
sealed by magic.
Whoever breaks
this seal will know
infinite power.
Only one card of
this type may be
included in a deck.",Mercury,Pluto,1,Spellcaster,Dark,200,300,7902349,999999,0,0,1,0,0,0,0,0,0,0,0,0,0,20,357,614,615,602,58,60
21,Exodia the Forbidden,"Once combined with
arms and legs, this 
monster is freed
from its magical
chains.
Only one card of
this type may be
included in a deck.",Mercury,Neptune,3,Spellcaster,Dark,1000,1000,33396948,999999,0,0,1,0,0,0,0,0,0,0,0,0,0,21,186,421,375,361,46,46
22,Summoned Skull,"An entity with dark
powers for confusing
the enemy. Among the
FIEND class of
monsters, this is a 
pretty rare card.",Moon,Pluto,6,Fiend,Dark,2500,1200,70781052,999999,0,0,0,0,0,0,0,0,0,0,0,0,0,22,594,32,25,261,324,13
23,The Wicked Worm Beast,"A monster worm
created by the
powers of darkness. 
It suddenly appears 
from under the
ground to attack its
enemies.",Uranus,Venus,3,Beast,Earth,1400,700,6285791,60,0,0,0,0,0,0,0,0,0,0,0,0,0,23,628,296,233,472,243,38
24,Skull Servant,"A skeletal ghost
that isn't strong
but can mean trouble
in large numbers.",Moon,Neptune,1,Zombie,Dark,300,200,32274490,10,0,0,0,0,0,0,0,0,0,0,0,0,0,24,562,619,608,616,111,60
25,Horn Imp,"A small imp that
dwells in the dark.
Its single horn
makes it a
formidable opponent.",Moon,Mercury,4,Fiend,Dark,1300,1000,69669405,80,0,0,0,0,0,0,0,0,1,0,0,0,0,25,288,323,266,339,295,40
26,Battle Ox,"A monster with
tremendous power.
Destroys enemies
with a swing of its
axe.",Jupiter,Moon,4,Beast-Warrior,Earth,1700,1000,5053103,999999,0,0,0,0,0,0,0,0,0,0,0,0,0,26,47,179,140,325,193,30
27,Beaver Warrior,"What this creature 
lacks in size,
it makes up for
in defense when
battling in the
meadow.",Jupiter,Venus,4,Beast-Warrior,Earth,1200,1500,32452818,140,0,0,0,0,0,0,0,0,0,0,0,0,0,27,58,229,284,177,195,36
28,Rock Ogre Grotto #1,"Protected by a solid
body of rock, this
creature throws
a bone-shattering
punch.",Uranus,Mercury,3,Rock,Earth,800,1200,68846917,999999,0,0,0,0,0,0,0,0,0,0,0,0,0,28,526,384,450,303,591,42
29,Mountain Warrior,"A solid warrior that
can move swiftly
over rough terrain.",Uranus,Mars,3,Beast-Warrior,Earth,600,1000,4931562,35,0,0,0,0,0,0,0,0,0,0,0,0,0,29,437,447,530,377,198,46
30,Zombie Warrior,"A deceptively
fragile-looking
skeleton warrior
that is known for
its swift and
precise attacks.",Moon,Mars,3,Zombie,Dark,1200,900,31339260,60,0,0,0,0,0,0,0,0,0,0,0,0,0,30,721,380,321,395,119,42
31,Koumori Dragon,"A vicious,
fire-breathing
dragon whose wicked
flames corrupt the
souls of its victims.",Moon,Jupiter,4,Dragon,Dark,1500,1200,67724379,140,0,0,0,1,0,0,0,0,0,0,0,0,0,31,337,236,195,274,14,36
32,Two-headed King Rex,"An unusual and
rarely seen
two-headed dragon.",Uranus,Neptune,4,Dinosaur,Earth,1600,1200,94119974,160,0,0,0,0,0,0,0,0,0,0,0,0,0,32,655,207,169,268,412,33
33,Judge Man,"For this
club-wielding
warrior, there is
no other outcome
to battle than
victory or defeat.",Sun,Saturn,6,Warrior,Earth,2200,1500,30113682,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,33,315,56,47,153,151,19
34,Saggi the Dark Clown,"This clown appears 
out of nowhere and 
executes some very 
strange moves to 
avoid enemy attacks.",Mercury,Moon,3,Spellcaster,Dark,600,1500,66602787,60,0,0,1,0,0,0,0,0,0,0,0,0,0,34,537,254,526,187,78,36
35,Dark Magician,"The ultimate wizard 
in terms of attack
and defense.",Mercury,Mars,7,Spellcaster,Dark,2500,2100,46986414,999999,0,0,0,0,0,0,0,0,0,0,0,0,0,35,135,29,24,41,42,13
36,The Snake Hair,"A monster with the
head of a poisonus
snake. One look will
turn an unwary
opponent to stone.",Moon,Saturn,4,Zombie,Dark,1500,1200,29491031,140,0,0,0,0,0,0,0,0,0,0,0,0,0,36,624,240,199,278,114,36
37,Gaia the Dragon Champion,"A warrior's prowess 
combines with a
dragon's speed to
create a powerful
offensive force.",Saturn,Mercury,7,Dragon,Wind,2600,2100,66889139,999999,0,0,0,1,0,0,0,0,0,0,0,0,0,37,222,21,18,40,11,11
38,Gaia the Fierce Knight,"A knight mounted on 
a horse that travels
faster than the wind.
His battle charge is
a force to be
reckoned with.",Mercury,Jupiter,7,Warrior,Earth,2300,2100,6368038,999999,0,0,0,0,0,0,0,0,0,0,0,0,0,38,223,42,34,42,139,17
39,Curse of Dragon,"A wicked dragon that
taps dark forces to 
execute a powerful
attack.",Saturn,Pluto,5,Dragon,Dark,2000,1500,28279543,999999,0,0,0,1,0,0,0,0,0,0,0,0,0,39,113,90,74,154,8,23
40,Dragon Piper,"A jar carved with
strange patterns. It
has a particularly
high defense factor.",Mars,Moon,3,Pyro,Fire,200,1800,55763552,55,0,0,0,0,0,0,0,1,0,0,1,0,0,40,161,160,614,111,569,28
41,Celtic Guardian,"An elf, who learned
to wield a sword,
baffles enemies with
lightning-swift
attacks.",Sun,Uranus,4,Warrior,Earth,1400,1200,91152256,120,0,0,0,0,1,0,0,0,0,0,0,0,0,41,92,270,222,280,128,38
42,Illusionist Faceless Mage,"Manipulates enemy
attacks with the
power of illusion.
A very rare card.",Venus,Mars,5,Spellcaster,Dark,1200,2200,28546905,320,0,0,0,0,0,0,0,0,0,0,0,0,0,42,302,58,280,35,53,19
43,Karbonala Warrior,"A very
average-looking
fighter with an
unusually high
attack factor.",Uranus,Jupiter,4,Warrior,Earth,1500,1200,54541900,140,0,0,0,0,0,0,0,0,0,0,0,0,0,43,327,234,193,272,155,36
44,Rogue Doll,"A unique doll gifted
with mystical power.
Particularly
powerful when
attacking against
dark forces.",Sun,Pluto,4,Spellcaster,Light,1600,1000,91939608,120,0,0,0,0,0,0,0,0,0,0,0,0,0,44,529,209,171,326,77,33
45,Oscillo Hero #2,"Attacks its enemies
with thunder.",Pluto,Sun,3,Thunder,Light,1000,500,27324313,30,0,0,0,0,0,0,0,0,0,0,0,0,0,45,477,451,391,542,500,46
46,Griffore,"This creature's
tough hide deflects
just about any
attack.",Jupiter,Mercury,4,Beast,Earth,1200,1500,53829412,140,0,0,0,0,0,0,0,0,0,0,0,0,1,46,261,232,286,179,221,36
47,Torike,"Not as tough as it
looks in terms of
defense.
This monster's
sharp horn gives it
an edge
when attacking.",Uranus,Sun,3,Beast,Earth,1200,600,80813021,45,0,0,0,0,0,0,0,0,0,0,0,0,1,47,639,390,327,509,245,42
48,Sangan,"A compact,
three-eyed monster
that is dangerous
when faced
in the dark.",Moon,Uranus,3,Fiend,Dark,1000,600,26202165,35,0,0,0,0,0,0,0,0,1,0,0,0,0,48,541,448,389,511,322,46
49,Big Insect,"A giant ant that
dwells in the jungle.
Powerful in terms of
both ATK and DEF
factors.",Jupiter,Uranus,4,Insect,Earth,1200,1500,53606874,140,0,0,0,0,0,0,0,0,0,0,0,0,0,49,62,230,285,178,369,36
50,Basic Insect,"Usually found
travelling in swarms,
this creature's
ideal environment is
the forest.",Jupiter,Pluto,2,Insect,Earth,500,700,89091579,25,0,0,0,0,0,0,0,0,0,0,0,0,0,50,45,549,563,505,368,52
51,Armored Lizard,"A lizard with a very
tough hide and a
very vicious bite.",Neptune,Sun,4,Reptile,Earth,1500,1200,15480588,999999,0,1,0,0,0,0,0,0,0,0,0,0,0,51,32,228,191,270,416,36
52,Hercules Beetle,"A massive beetle
with a tough hide
and a dangerous horn.",Jupiter,Neptune,5,Insect,Earth,1500,2000,52584282,999999,0,0,0,0,0,0,0,0,0,0,0,0,0,52,278,91,182,62,380,23
53,Killer Needle,"A huge bee with
exceptional strength.
Particularly
dangerous when a
swarm is encountered.",Jupiter,Sun,4,Insect,Wind,1200,1000,88979991,70,0,0,0,0,0,0,0,0,0,0,0,0,0,53,332,359,305,349,387,42
54,Gokibore,"A large, spherical
roach that attacks
its enemies by
rolling over them.
Its tough defense
makes it 
a formidable foe.",Jupiter,Moon,4,Insect,Earth,1200,1400,15367030,999999,0,0,0,0,0,0,0,0,0,0,0,0,0,54,250,275,291,212,378,38
55,Giant Flea,"A giant
blood-sucking flea
that's devastating
when attacking.",Jupiter,Venus,4,Insect,Earth,1500,1200,41762634,140,0,0,0,0,0,0,0,0,0,0,0,0,0,55,237,231,192,271,376,36
56,Larvae Moth,"Not much in its
larval form,
this creature is a
force to be reckoned
with when it grows
to become a colossal
moth.",Jupiter,Mercury,2,Insect,Earth,500,400,87756343,999999,0,0,0,0,0,0,0,0,0,0,0,0,0,56,351,582,571,578,392,56
57,Great Moth,"A powerful creature
of the forest, this
huge moth attacks
its enemies by
spreading poison
dust with its wings.",Jupiter,Uranus,8,Insect,Earth,2600,2500,14141448,999999,0,0,0,0,0,0,0,0,0,0,0,0,0,57,257,19,16,13,379,11
58,Kuriboh,"By itself, this
small creature may
not seem like much.
But in the dark, it
attacks in numbers
as a formidable
force.",Mercury,Saturn,1,Fiend,Dark,300,200,40640057,10,0,0,0,0,0,0,0,0,1,0,0,0,0,58,342,613,606,614,301,60
59,Mammoth Graveyard,"A mammoth that
protects the
gravesite of its
pack. It's
absolutely merciless
when facing
graverobbers.",Mercury,Pluto,3,Dinosaur,Earth,1200,800,40374923,55,0,0,0,0,0,0,0,0,1,0,0,0,0,59,385,383,323,439,406,42
60,Great White,"A giant white shark
with razor-sharp
teeth.",Neptune,Moon,4,Fish,Water,1600,800,13429800,999999,0,1,0,0,0,0,0,0,0,0,0,0,0,60,258,212,173,429,434,33
61,Wolf,"A rarely seen wolf
with a powerful nose
for catching the
scent of an enemy.",Jupiter,Pluto,3,Beast,Earth,1200,800,49417509,55,0,0,0,0,0,0,0,0,0,0,0,0,1,61,702,387,325,441,247,42
62,Harpie Lady,"A human-shaped
animal with wings.
Beautiful to watch,
but lethal when
engaged in battle.",Saturn,Neptune,4,Winged Beast,Wind,1300,1400,76812113,999999,0,0,0,0,0,1,1,0,0,0,0,0,0,62,274,266,252,206,255,38
63,Harpie Lady Sisters,"Three fierce sisters
who relentlessly
attack as a team.",Saturn,Mars,6,Winged Beast,Wind,1950,2100,12206212,999999,0,0,0,0,0,1,1,0,0,0,0,0,0,63,275,63,77,45,256,21
64,Tiger Axe,"A fast and powerful
axe-wielding
beast warrior.",Jupiter,Neptune,4,Beast-Warrior,Earth,1300,1100,49791927,999999,0,0,0,0,0,0,0,0,0,0,0,0,0,64,632,317,262,315,206,40
65,Silver Fang,"A snow wolf that's
beautiful to the eye
but absolutely
vicious in battle.",Jupiter,Sun,3,Beast,Earth,1200,800,90357090,55,0,0,0,0,0,0,0,0,0,0,0,0,1,65,555,385,324,440,238,42
66,Kojikocy,"A man-hunter with
powerful arms that
can crush boulders.",Uranus,Moon,4,Warrior,Earth,1500,1200,1184620,140,0,0,0,0,0,0,0,0,0,0,0,0,0,66,335,235,194,273,156,36
67,Perfectly Ultimate Great Moth,"The final
incarnation of the
ultimate insect,
the Great Moth!",Jupiter,Moon,8,Insect,Earth,3500,3000,48579379,999999,0,0,0,0,0,0,0,0,0,0,0,0,0,67,485,3,3,3,398,3
68,Garoozis,"An axe-swinging
beast warrior with
the head of
a dragon.",Mars,Venus,5,Beast-Warrior,Fire,1800,1500,14977074,290,0,0,0,0,0,0,0,0,0,0,1,0,0,68,228,139,108,160,196,28
69,Thousand Dragon,"A dragon that has
grown and developed
over a thousand
years.",Mars,Mercury,7,Dragon,Wind,2400,2000,41462083,999999,0,0,0,1,0,0,0,0,0,0,0,0,0,69,629,38,31,51,26,15
70,Fiend Kraken,"A massive squid that
suddenly appears
from the depths of
the sea to attack
unwary enemies.",Neptune,Venus,4,Aqua,Water,1200,1400,77456781,120,0,1,0,0,0,0,0,0,0,0,0,0,0,70,194,273,289,210,521,38
71,Jellyfish,"An almost invisible,
semi-transparent
jellyfish that
drifts in the sea.",Neptune,Mercury,4,Aqua,Water,1200,1500,14851496,140,0,1,0,0,0,0,0,0,0,0,0,0,0,71,311,233,287,180,533,36
72,Cocoon of Evolution,"This creature is
capable of instantly
evolving larvae
into adults.",Jupiter,Venus,3,Insect,Earth,0,2000,40240595,999999,0,0,0,0,0,0,0,0,0,0,0,0,0,72,99,101,621,70,372,23
73,Kairyu-shin,"A sea dragon that's
referred to as the
""King of the Ocean"".
It attacks its
enemies with huge
tidal waves.",Neptune,Mars,5,Sea Serpent,Water,1800,1500,76634149,290,0,0,0,1,0,0,0,0,0,0,0,0,0,73,318,141,109,161,445,28
74,Giant Soldier of Stone,"A giant warrior made
of stone. A punch
from this creature
has earth-shaking
results.",Uranus,Venus,3,Rock,Earth,1300,2000,13039848,290,0,0,0,0,0,0,0,0,0,0,0,0,0,74,241,92,244,63,581,23
75,Man-eating Plant,"A meat-eating plant
that is attractive
to the eye but
dangerous when
approached.",Mercury,Jupiter,2,Plant,Earth,800,600,49127943,30,0,0,0,0,0,0,0,0,0,0,0,0,0,75,389,515,474,516,613,50
76,Krokodilus,"A vicious crocodile
with intelligence.
Hard scales form
a natural armor
for this creature.",Neptune,Jupiter,4,Reptile,Water,1100,1200,76512652,80,0,1,0,0,0,0,0,0,0,0,0,0,0,76,338,348,339,292,421,42
77,Grappler,"A devious snake with
a thick body that
wraps around an
enemy monster and
squeezes the life
out of it.",Neptune,Saturn,4,Reptile,Water,1300,1200,2906250,100,0,1,0,0,0,0,0,0,0,0,0,0,0,77,253,305,256,287,420,40
78,Axe Raider,"An axe-wielding
monster of
tremendous strength
and agility.",Uranus,Mercury,4,Warrior,Earth,1700,1150,48305365,160,0,0,0,0,0,0,0,0,0,0,0,0,0,78,37,178,139,307,123,30
79,Megazowler,"Nothing stands in
the way of this
spike-covered
dinosaur.",Uranus,Neptune,6,Dinosaur,Earth,1800,2000,75390004,500,0,0,0,0,0,0,0,0,0,0,0,0,0,79,408,80,98,58,407,23
80,Uraby,"Fast on its feet,
this dinosaur rips
enemies to shreds
with its sharp claws.",Uranus,Mars,4,Dinosaur,Earth,1500,800,1784619,80,0,0,0,0,0,0,0,0,0,0,0,0,0,80,662,252,206,432,414,36
81,Crawling Dragon #2,"A powerful dragon
with teeth that can
grind almost
anything to dust.",Moon,Pluto,4,Dinosaur,Earth,1600,1200,38289717,160,0,0,0,1,0,0,0,0,0,0,0,0,0,81,108,203,165,264,404,33
82,Red-eyes B. Dragon,"A very rare card
with a high-level
ATK factor.",Moon,Neptune,7,Dragon,Dark,2400,2000,74677422,999999,0,0,0,1,0,0,0,0,0,0,0,0,0,82,516,37,30,50,22,15
83,Castle of Dark Illusions,"A creature that can
generate darkness to
envelop all that
exists around it.",Mercury,Uranus,4,Fiend,Dark,920,1930,62121,160,0,0,1,0,0,0,0,0,0,0,0,0,0,83,90,104,401,73,278,25
84,Reaper of the Cards,"This monster boasts
a strong defense and
a massive scythe
that cuts through
almost anything.",Moon,Pluto,5,Fiend,Dark,1380,1930,33066139,290,0,0,0,0,0,0,0,0,1,0,0,0,0,84,514,103,234,72,319,25
85,King of Yamimakai,"Wields the power of
darkness to destroy
its enemies.",Moon,Pluto,5,Fiend,Dark,2000,1530,69455834,350,0,0,0,0,0,0,0,0,0,0,0,0,0,85,334,89,73,151,300,23
86,Barox,"This creature flies
through the dark,
attacking its
enemies with its
long, hairy arms.",Jupiter,Mercury,5,Fiend,Dark,1380,1530,6840573,180,0,0,0,0,0,0,0,0,0,0,0,0,0,86,42,221,235,152,273,35
87,Dark Chimera,"A fire-breathing
monster that dwells
in the netherworld.",Mercury,Neptune,5,Fiend,Dark,1610,1460,32344688,200,0,0,0,0,0,0,0,0,0,0,0,0,0,87,128,187,148,188,283,32
88,Metal Guardian,"A fiend guarding
the treasures of
the netherworld.
Its defense is
particularly high in
 a dark environment.",Moon,Mercury,5,Fiend,Dark,1150,2150,68339286,290,0,0,0,0,0,0,0,0,1,0,0,0,0,88,413,61,328,38,310,20
89,Catapult Turtle,"Well-protected by
its shell, this
monster flings
projectiles from
its catapult.",Neptune,Sun,5,Aqua,Water,1000,2000,95727991,200,0,1,0,0,0,0,0,0,0,0,0,1,0,89,91,96,362,66,516,23
90,Gyakutenno Megami,"Uses her mystical
power to protect the
weak and provide
spiritual support.",Sun,Neptune,6,Fairy,Light,1800,2000,31122090,500,0,0,0,0,0,0,1,0,0,0,0,0,0,90,268,78,97,57,346,23
91,Mystic Horseman,"Half man and half
horse, this monster
is known for its
extreme speed.",Jupiter,Uranus,4,Beast,Earth,1300,1550,68516705,999999,0,0,0,0,0,0,0,0,0,0,0,0,1,91,448,218,247,150,231,34
92,Rabid Horseman,"A powerful
and unstoppable
combination of
bull and horse.",Jupiter,Pluto,6,Beast-Warrior,Earth,2000,1700,94905343,999999,0,0,0,0,0,0,0,0,0,0,0,0,0,92,507,86,70,115,202,23
93,Zanki,"Prefers to face
enemies one-on-one.
His swiftly drawn
blade delivers a
quick and immediate
finnish.",Uranus,Jupiter,5,Warrior,Earth,1500,1700,30090452,260,0,0,0,0,0,0,0,0,0,0,0,0,0,93,716,169,187,126,192,30
94,Crawling Dragon,"A weakened dragon
that can no longer
fly, but is still a
formidable force
to be reckoned with.",Uranus,Sun,5,Dragon,Earth,1600,1400,67494157,200,0,0,0,1,0,0,0,0,0,0,0,0,0,94,107,192,157,196,7,33
95,Crass Clown,"A performer
in the Dark Circus,
this clown drains
the strength of
its enemies with
strange dances.",Venus,Jupiter,4,Fiend,Dark,1350,1400,93889755,140,0,0,0,0,0,0,0,0,0,0,0,0,0,95,106,260,238,202,281,38
96,Armored Zombie,"A warrior raised
from the beyond.
Blindly swings
a sharp blade with
devastating force.",Moon,Pluto,3,Zombie,Dark,1500,0,20277860,260,0,0,0,0,0,0,0,0,0,0,0,0,0,96,35,255,207,620,89,36
97,Dragon Zombie,"A dragon revived by
sorcery. Its breath
is highly corrosive.",Moon,Pluto,3,Zombie,Dark,1600,0,66672569,200,0,0,0,1,0,0,0,0,0,0,0,0,0,97,165,215,174,619,97,33
98,Clown Zombie,"A clown revived by
the powers of
darkness.
Its strange dance
has sent many 
monsters to their
ends.",Moon,Pluto,2,Zombie,Dark,1350,0,92667214,140,0,0,0,0,0,0,0,0,0,0,0,0,0,98,97,302,243,621,92,39
99,Pumpking the King of Ghosts,"This pumpkin king
strikes at its
enemies with its
long tentacles.",Jupiter,Neptune,6,Zombie,Dark,1800,2000,29155212,500,0,0,0,0,0,0,0,0,0,0,0,0,0,99,501,82,100,60,107,23
100,Battle Warrior,"A warrior that
fights with his
bare hands.",Uranus,Moon,3,Warrior,Earth,700,1000,55550921,40,0,0,0,0,0,0,0,0,0,0,0,0,0,100,49,444,498,375,124,46
101,Wings of Wicked Flame,"Soaring over
its enemies on wings
of crimson fire,
this monster attacks
by blasting flames
from its body.",Mars,Saturn,2,Pyro,Fire,700,600,92944626,30,0,0,0,0,0,0,0,0,0,0,1,0,0,101,697,547,515,532,576,52
102,Mask of Darkness,"A shadow mask
created by the hands
of a dark mage.",Mercury,Moon,2,Fiend,Dark,900,400,28933734,30,0,0,1,0,0,0,0,0,0,0,0,0,0,102,392,494,432,569,307,48
103,Job-change Mirror,"An indestructible,
wicked mirror that
blocks enemy attacks.",Mercury,Mars,3,Fiend,Dark,800,1300,55337339,999999,0,0,1,0,0,0,0,0,0,0,0,0,0,103,314,329,447,252,297,40
104,Curtain of the Dark Ones,"A curtain woven by
the hands of a
sorcerer. It is said
to enhance the power
of magic- users.",Mercury,Jupiter,2,Spellcaster,Dark,600,500,22026707,25,0,0,1,0,0,0,0,0,0,0,0,0,0,104,117,564,546,556,40,54
105,Tomozaurus,"A deceivingly small
creature that is so
vicious it attacks
both friend and foe
without discretion.",Uranus,Venus,2,Dinosaur,Earth,500,400,46457856,20,0,0,0,0,0,0,0,0,0,0,0,0,0,105,636,587,574,581,410,56
106,Spirit of the Winds,"A spirit of the wind
that freely sails
the skies. Known to
generate storms when
it's in a bad mood.",Saturn,Sun,5,Spellcaster,Wind,1700,1400,54615781,230,0,0,0,0,0,0,0,0,0,0,0,0,0,106,580,173,137,195,82,30
107,Kageningen,"Uses both its
physical and shadow
forms to attack,
making it
a difficult creature
to overcome.",Moon,Mars,2,Warrior,Dark,800,600,80600490,30,0,0,0,0,0,0,0,0,0,0,0,0,0,107,317,511,472,514,153,50
108,Graveyard and the Hand of Invitation,"A final resting
place that enhances
the power of the
doomed and drains
that of the living.",Moon,Pluto,3,Zombie,Dark,700,900,27094595,35,0,0,0,0,0,0,0,0,0,0,0,0,0,108,254,478,500,416,102,48
109,Goddess with the Third Eye,"A goddess with an
all-seeing eye that
reveals all.",Sun,Venus,4,Fairy,Light,1200,1000,53493204,70,0,0,0,0,0,0,1,0,0,0,0,0,0,109,249,356,303,347,345,42
110,Hero of the East,"A samurai from the
Far East armed with
a razor-sharp sword.",Uranus,Mercury,3,Warrior,Earth,1100,1000,89987208,60,0,0,0,0,0,0,0,0,0,0,0,0,0,110,279,398,343,356,146,44
111,Doma The Angel of Silence,"This angel rules
over the doomed
and administers it
when necessary.",Mercury,Saturn,5,Fairy,Dark,1600,1400,16972957,200,0,0,1,0,0,0,0,0,0,0,0,0,0,111,157,193,158,197,343,33
112,That Which Feeds on Life,"A vile monster that
fuels its power by
draining the essence
of life from
its opponents.",Mercury,Uranus,4,Fiend,Dark,1200,1000,52367652,70,0,0,1,0,0,0,0,0,0,0,0,0,0,112,613,364,309,353,327,42
113,Dark Gray,"Entirely gray,
this beast has
rarely been seen
by mortal eyes.",Jupiter,Moon,3,Beast,Earth,800,900,9159938,40,0,0,0,0,0,0,0,0,0,0,0,0,1,113,131,463,463,411,211,48
114,White Magical Hat,"A gentleman thief
that eludes the law
despite the fact
that he sticks out
like a sore thumb
with his silk hat
and white cape.",Sun,Mars,3,Spellcaster,Light,1000,700,15150365,40,0,0,0,0,0,0,0,0,0,0,0,0,0,114,685,445,388,481,86,46
115,Kamion Wizard,"A magic-user that
controls chaos
and wields
a mighty sickle.",Mercury,Pluto,4,Spellcaster,Dark,1300,1100,41544074,120,0,0,1,0,0,0,0,0,0,0,0,0,0,115,323,314,260,313,54,40
